Size BST-Insert AVL-Insert BST-Find AVL-Find
528 25214 1930 27842 1099
529 25256 1906 26424 1524
530 25304 1912 26352 1477
531 23875 1961 26545 1352
532 25348 1905 26803 1299
533 25496 1949 26123 1447
534 24788 1945 26280 1777
535 26066 1939 26797 1196
536 24989 1886 26818 1192
537 23943 1869 27292 1469
538 25407 1896 27432 1463
539 24034 1908 26048 1450
540 23275 1863 26141 1394
541 23633 1895 26100 1478
542 25274 1946 26333 1453
543 25964 1961 26405 994
544 25844 1892 26119 990
545 25369 1871 26646 1380
546 24572 1923 26580 1367
547 26246 2056 26624 1290
548 25276 1913 26643 1277
549 25402 1897 26704 1436
550 24730 2095 26436 1439
551 25512 1940 26590 1219
552 26614 1892 26567 1203
553 25895 1891 26700 1416
554 25992 1959 26724 1401
555 24354 1910 27039 1352
556 24318 1902 27231 1346
557 24381 1880 27315 1557
558 26152 1915 27266 1514
559 24999 1937 27225 1174
560 24535 1857 27251 1160
561 24570 2098 28690 1456
562 26165 1955 29304 1415
563 25105 1920 27449 1307
564 25164 1887 27390 1309
565 25306 1896 27605 1499
566 24689 1884 27518 1512
567 25314 1922 31193 1226
568 26437 1915 31691 1199
569 27223 1932 31392 1375
570 25450 1942 31635 1391
571 25527 2010 30884 1332
572 26724 1944 30950 1311
573 27757 1976 31114 1511
574 25990 1975 31113 1502
575 27322 2007 29330 929
576 27678 1945 29312 928
577 24884 2100 31888 1316
578 25081 1819 31926 1285
579 25870 1883 31441 1327
580 25248 1842 31370 1305
581 26642 1875 31940 1399
582 24829 1847 32046 1366
583 26176 1869 32101 1203
584 27887 1917 32067 1182
585 27774 1934 30809 1527
586 27705 1987 30742 1489
587 26954 1999 31010 1376
588 26954 1903 31307 1378
589 26462 1909 30458 1604
590 27062 1920 30392 1564
591 27934 1968 32665 1100
592 27252 1904 32653 1139
593 25760 1900 30610 1490
594 28545 1891 30895 1480
595 25871 1868 31433 1378
596 28619 1894 31478 1375
597 29121 1927 33003 1436
598 26067 1912 33255 1382
599 27601 1932 29213 1199
600 26773 1885 29495 1172
601 26568 1898 30790 1445
602 26017 1882 31174 1429
603 27397 1970 31042 1309
604 27052 1896 31222 1315
605 26255 1952 31773 1548
606 27165 1941 31600 1537
607 27200 1944 31183 1086
608 26753 1927 30585 1079
609 26668 1983 30859 1486
610 28114 1917 30871 1445
611 26812 1968 30322 1402
612 29089 1877 30342 1359
613 27863 1975 30009 1516
614 29075 1905 30117 1460
615 29105 1918 31615 1247
616 27600 1929 30680 1258
617 26380 1839 31129 1519
618 27505 1836 30696 1516
619 29478 2372 31140 1409
620 27729 1856 30907 1398
621 29641 1932 32540 1559
622 27584 1948 32663 1548
623 27046 1903 30570 1125
624 27827 1883 30560 1115
625 29545 1960 32640 1381
626 27896 1936 32336 1363
627 29161 1952 34442 1412
628 27278 1891 34251 1423
629 29209 1917 34266 1543
630 30005 1932 34545 1517
631 27415 1898 34335 1261
632 28275 1909 34370 1259
633 30026 1931 31111 1482
634 30192 1923 31136 1478
635 30013 2104 32886 1378
636 27802 1952 32902 1370
637 30703 1956 34954 1571
638 30144 1984 34782 1578
639 30177 1955 35007 821
640 29805 1926 35047 949
641 30013 1890 35125 1417
642 28715 1872 35061 1397
643 30489 1925 34696 1367
644 30419 1917 34819 1352
645 29734 1923 35283 1440
646 30674 1947 35305 1413
647 30015 1945 32342 1306
648 29163 1875 32469 1284
649 28397 1904 35278 1462
650 31283 1938 35261 1479
651 28527 1952 34542 1491
652 28621 1957 34200 1483
653 28159 1934 35695 1666
654 28299 1941 35633 1505
655 28862 2179 34397 1239
656 28988 1945 34408 1224
657 28402 1951 35934 1468
658 28927 1963 35521 1462
659 28542 1947 32430 1430
660 28451 1916 31963 1409
661 29760 1912 34114 1481
662 30757 1920 34145 1452
663 28801 1869 36167 1310
664 29523 1844 36268 1319
665 30852 1898 35139 1537
666 31628 1941 34970 1535
667 31252 1950 33151 1401
668 31937 1948 33171 1405
669 31967 1974 33903 1586
670 31658 2054 33909 1611
671 28922 1940 36161 1090
672 30912 1917 36230 1082
673 28913 1899 34531 1580
674 31148 1944 34079 1536
675 31863 1952 34360 1424
676 31150 1965 34342 1413
677 31373 1986 34633 1577
678 30467 1967 34471 1565
679 30556 1974 37375 1392
680 29868 1932 37161 1375
681 31536 1984 35890 1512
682 31282 2242 35771 1544
683 31942 4314 35360 1398
684 32221 1943 35419 1391
685 30392 1908 36236 1625
686 30452 1899 36109 1597
687 32269 1994 34345 1280
688 29753 1865 34321 1249
689 30592 1877 36361 1643
690 30889 1892 36584 1612
691 33054 1976 37706 1479
692 30342 1895 38145 1441
693 32183 1954 35800 1692
694 29992 1917 35380 1681
695 30781 1992 37111 1446
696 31456 1975 36924 1431
697 31568 1983 37970 1595
698 32997 1997 38089 1757
699 32434 1977 37671 1600
700 33339 1975 36940 1563
701 32407 1969 36108 1713
702 33363 1960 36042 1699
703 30499 1925 35971 1031
704 32778 1943 36808 1050
705 32828 1920 34606 1561
706 33842 1911 35091 1533
707 32943 1959 35549 1496
708 34062 1934 35632 1462
709 30904 1911 36772 1614
710 33020 1946 36522 1554
711 34400 1972 37742 1358
712 34022 1934 37831 1351
713 33437 1929 36018 1636
714 32670 1951 36046 1618
715 31537 1974 36190 1506
716 34040 1984 36158 1479
717 34344 1928 36754 1634
718 33443 1978 36919 1649
719 31765 1975 36252 1280
720 32497 1952 36128 1273
721 32216 1884 39008 1526
722 33716 1897 39047 1529
723 34421 2159 38968 1487
724 31341 1827 39021 1449
725 31393 1830 35497 1469
726 32563 1843 35468 1421
727 34295 1917 39412 1336
728 33688 1934 39454 1332
729 33712 1894 38946 1654
730 34664 1946 38490 1632
731 33979 1919 37575 1407
732 32439 1926 37877 1400
733 34814 1934 39733 1570
734 35259 1983 39867 1557
735 34938 1944 39885 1130
736 33330 1952 39843 1129
737 34685 1975 40205 1514
738 32004 1905 40041 1531
739 32929 1896 40466 1387
740 32022 1857 40512 1383
741 34578 2055 40185 1645
742 35057 1968 40512 1634
743 33637 1965 40405 1371
744 31923 1917 40262 1375
745 34414 1936 40511 1556
746 33114 1934 40576 1511
747 35709 2171 40817 1512
748 33647 2000 40874 1536
749 32441 1873 36667 1565
750 32152 1832 36355 1552
751 31902 1802 36957 1208
752 32086 1880 36872 1196
753 33872 1937 40680 1639
754 35589 1972 40871 1626
755 35894 1977 40212 1542
756 36009 2013 39707 1534
757 35732 1965 39188 1686
758 36302 1985 38689 1668
759 33678 1874 41761 1438
760 35160 1948 41547 1438
761 35419 1931 41507 1663
762 36307 1967 41617 1622
763 35258 1899 41262 1470
764 36319 1971 41549 1435
765 35231 1908 41210 1677
766 36196 1942 41219 1685
767 34397 1907 40128 862
768 35315 1932 40124 928
769 34527 1904 41549 1422
770 33971 1885 41492 1398
771 33382 1853 41610 1375
772 35895 1889 41577 1358
773 35773 1914 41612 1537
774 33263 1880 41653 1521
775 35680 1982 41995 1252
776 34734 1899 41754 1245
777 35109 1937 38889 1570
778 35019 1968 38832 1521
779 36076 1947 39688 1400
780 34661 1887 39934 1385
781 36192 1950 42416 1577
782 36124 1947 42234 1558
783 34781 1940 40105 1235
784 37369 1952 39705 1252
785 34558 1874 39030 1655
786 37498 1948 39107 1618
787 37365 1950 41744 1497
788 40345 2085 43074 1531
789 37932 2097 41630 1747
790 34807 2063 41623 1710
791 38203 1990 40638 1457
792 39514 1984 40513 1445
793 36308 1926 44281 1568
794 36844 3345 43179 1510
795 34545 1925 42075 1622
796 37781 1948 42794 1624
797 38636 2100 40547 1709
798 35330 1951 40717 1636
799 37042 2040 42322 1251
800 37395 1889 42166 1227
801 38072 1932 43280 1490
802 37035 1930 42964 1450
803 37308 1964 43897 1418
804 36655 1925 45226 1423
805 38868 2006 39316 1474
806 37202 1939 39121 1465
807 35876 1924 43993 1295
808 36022 1880 44216 1292
809 35829 1864 43496 1536
810 37445 2302 43458 1501
811 35437 1904 43923 1452
812 35106 1917 43790 1446
813 38647 1938 42659 1782
814 35302 1850 42695 1770
815 38680 1994 44192 1230
816 34908 1880 43947 1209
817 36340 1988 41955 1490
818 39619 1956 42298 1509
819 37849 2015 44157 1442
820 38045 1915 43830 1439
821 38008 1955 44289 1633
822 36992 1932 44190 1620
823 39151 2210 45134 1414
824 38181 2935 44679 1404
825 37058 1944 44577 1576
826 36219 1929 44441 1564
827 39268 1980 42701 1475
828 39607 2008 43272 1536
829 39657 2040 44985 1719
830 39655 2081 44914 1712
831 38459 1950 43673 1162
832 39498 1924 44057 1164
833 36759 2169 41274 1604
834 36218 1856 41968 1560
835 40408 1906 40866 1377
836 36322 1906 41114 1365
837 39874 2063 45000 1522
838 40585 1885 46393 1548
839 37389 1919 46724 1339
840 41182 2107 47164 1360
841 40157 1920 46050 1491
842 39944 1907 45216 1496
843 39993 1937 43092 1400
844 40070 1928 43227 1400
845 40400 1977 45777 1653
846 39232 1958 46034 1662
847 39584 2182 45870 1237
848 38134 1927 45929 1229
849 39406 2049 46193 1583
850 40362 1943 46077 1595
851 39544 1952 46340 1462
852 38300 1903 46532 1475
853 39819 1911 43354 1675
854 37822 1874 43335 1634
855 37952 1926 42658 1572
856 39554 1945 42595 1458
857 41181 1955 45087 1750
858 40808 1957 46059 1739
859 39949 1998 46962 1632
860 40979 2005 46779 1559
861 38180 1879 47125 1670
862 39851 1969 47882 2027
863 41518 2182 46965 1157
864 41012 1974 47185 1142
865 41084 1907 46854 1574
866 41280 1930 46805 1543
867 38874 1942 42902 1549
868 41381 1903 43079 1668
869 40187 1960 47098 1613
870 37585 1888 47168 1593
871 36887 1835 46803 1387
872 40021 1913 46841 1374
873 41416 1940 47572 1616
874 41447 1945 47810 1593
875 40393 2224 47062 1579
876 38610 1912 47017 1524
877 40397 1913 47916 1633
878 41549 1981 47813 1648
879 41664 2000 46186 1412
880 40705 2025 46204 1424
881 40838 2007 44715 1639
882 39456 1993 44580 1637
883 40684 1936 46717 1660
884 40825 1936 46458 1659
885 42072 1967 48351 1705
886 42075 1983 48650 1668
887 42432 1922 47941 1454
888 42360 1992 47782 1432
889 42575 1976 45797 1620
890 41109 1949 45322 1654
891 42465 1948 45450 1511
892 42470 2021 45392 1579
893 43040 1992 44436 1745
894 42704 2008 44398 1708
895 42714 1927 44377 1020
896 41462 2047 44273 1007
897 40275 1927 44802 1688
898 42750 1898 44720 1588
899 41398 1912 44045 1533
900 43167 1930 43501 1496
901 40504 1964 44743 1782
902 40835 1940 45224 1646
903 43074 1928 43375 1397
904 42083 1932 43153 1388
905 42029 1929 43357 1619
906 43005 2021 43179 1605
907 43093 1932 46260 1490
908 42215 1944 46077 1468
909 43131 1942 46166 1617
910 39450 1919 46152 1607
911 40254 1910 49305 1259
912 43306 1939 49284 1270
913 43354 1959 45568 1684
914 42392 1922 45429 1619
915 42233 1920 43853 1489
916 43452 1932 44666 1495
917 40691 1902 49911 1619
918 41112 2184 49824 1618
919 43540 1989 49895 1370
920 43779 1943 50390 1362
921 41248 1967 50132 1655
