Size BST-Insert AVL-Insert BST-Find AVL-Find
471 21448 1844 26111 1236
472 20675 1841 26060 1200
473 20659 1842 26852 1420
474 20765 1836 26292 1429
475 22256 1799 24627 1424
476 20493 1752 24785 1401
477 22280 1837 23373 1436
478 22342 1763 23216 1437
479 21319 1705 25185 1024
480 21096 1806 25254 1013
481 22663 1825 26641 1381
482 21969 1791 26639 1372
483 22690 1780 27257 1302
484 23486 1761 27167 1309
485 22182 1857 25537 1445
486 22526 1792 25566 1434
487 22642 1744 26361 1299
488 23800 1797 26039 1301
489 23068 1785 26221 1759
490 22453 1831 26265 1553
491 22007 1897 27321 1366
492 21553 1905 27395 1372
493 21706 1810 25642 1650
494 22149 1848 25500 1616
495 23562 1765 26584 1237
496 23092 1802 26593 1222
497 23190 1874 26872 1544
498 23081 1866 26780 1524
499 22978 1822 26379 1522
500 22474 1883 26023 1505
501 23090 1822 26448 1643
502 22491 1779 26119 1778
503 23461 1778 25307 1386
504 23286 1842 25286 1372
505 23671 1771 25674 1597
506 24207 1806 25449 1580
507 23661 1763 25456 1493
508 24310 1792 25201 1518
509 22064 1691 25704 1621
510 22641 1713 25770 1800
511 22825 1735 26837 630
512 22796 1732 26775 631
513 24475 2087 28509 1335
514 22285 1792 28478 1272
515 22860 1860 28098 1185
516 24383 1853 27835 1175
517 23708 1955 28204 1353
518 23335 1891 28436 1343
519 23171 1942 27544 1094
520 23822 1903 26997 1102
521 23284 1894 28897 1341
522 24286 1947 29210 1336
523 24951 1921 28797 1234
524 24844 1879 28352 1237
525 23307 1888 28522 1417
526 24566 1902 28571 1416
527 24520 1953 27810 1098
528 25415 1857 28158 1101
529 25242 1909 26274 1517
530 25053 1894 26375 1477
531 24047 1970 26527 1350
532 25409 1905 26408 1288
533 25397 1905 26371 1444
534 24691 2005 26032 1430
535 25830 1935 26764 1186
536 25145 1889 26705 1198
537 23889 1888 27365 1454
538 25125 1885 27240 1453
539 24084 1914 26054 1440
540 23468 1868 25752 1400
541 23560 1911 25860 1477
542 25180 1922 25999 1457
543 26013 1935 26130 990
544 25791 1881 26305 985
545 25915 1909 26787 1372
546 24465 1914 26264 1361
547 26227 1924 26606 1287
548 25367 1990 26669 1274
549 25754 1936 26921 1437
550 24663 1920 26364 1440
551 25372 1950 26508 1215
552 26642 1884 26495 1242
553 26040 1903 26797 1417
554 25959 1943 26744 1455
555 24284 1960 26957 1347
556 24673 1978 27015 1341
557 24270 1919 27430 1550
558 26048 1902 27257 1499
559 25341 1952 27259 1176
560 24618 1857 27032 1161
561 24624 1940 28574 1440
562 26061 1943 28542 1397
563 25051 1932 27402 1305
564 25119 1882 27291 1309
565 25237 1917 27452 1491
566 24838 1882 27435 1505
567 25542 1928 31046 1227
568 26466 1886 31293 1215
569 27185 1979 31507 1371
570 25465 1917 31352 1386
571 25508 2008 30851 1324
572 26812 1922 31144 1317
573 27365 1969 31058 1510
574 25761 2022 30978 1497
575 27309 1988 29185 925
576 27564 1864 29119 922
577 24891 1839 31737 1307
578 25165 1831 31710 1287
579 25836 2087 31458 1332
580 25181 1872 31255 1301
581 26580 1942 31970 1397
582 25132 1845 32035 1365
583 25875 1887 31620 1244
584 27735 1849 31582 1189
585 27525 1908 30659 1498
586 27585 1875 30595 1473
587 27008 2144 31015 1347
588 26903 1959 30876 1344
589 26610 1997 30175 1589
590 27359 1949 30141 1551
591 28085 1983 32452 1099
592 27215 1949 32388 1082
593 25734 1936 30349 1491
594 28432 1896 30343 1472
595 25924 1911 31373 1368
596 28481 1911 31385 1375
597 28395 1935 33529 1434
598 26052 2099 33037 1378
599 27537 1972 28904 1195
600 26761 1867 28870 1170
601 26269 1899 30772 1444
602 26114 1882 30826 1422
603 27082 1973 31155 1308
604 27064 1921 30929 1320
605 26034 2104 31580 1551
606 27197 2095 31463 1535
607 27352 1977 30539 1087
608 26572 1934 30590 1082
609 26203 2115 30690 1475
610 28037 1901 30925 1449
611 26942 1955 30299 1394
612 28962 1898 30276 1363
613 27699 1993 29870 1775
614 29140 1935 30095 1455
615 29402 1953 30695 1247
616 27644 1949 30763 1245
617 26472 1844 30857 1520
618 27430 1887 30670 1514
619 29119 1949 31059 1397
620 27457 1906 30872 1385
621 29437 1969 32791 1553
622 27552 1966 32744 1534
623 27014 1954 30577 1127
624 27840 1955 30550 1104
625 29655 1980 32188 1382
626 27815 1961 32227 1362
627 29461 1998 34120 1412
628 27232 1926 34036 1419
629 29303 1955 34224 1542
630 30268 1967 34168 1514
631 27566 1962 34802 1261
632 28081 1947 34294 1253
633 30078 1944 31049 1485
634 30210 1965 31238 1483
635 29906 2089 32767 1373
636 27613 1959 32837 1370
637 30310 1956 34786 1558
638 30067 1937 34680 1562
639 30250 1925 34864 831
640 29823 1869 34804 910
641 29916 1862 35177 1405
642 28654 1915 34933 1368
643 30281 2041 34579 1349
644 30341 1939 34824 1339
645 30007 1969 35602 1406
646 30936 1960 35258 1413
647 29689 1970 32279 1297
648 29155 1911 32331 1287
649 28385 2041 35107 1444
650 30724 1948 34979 1466
651 28472 2009 34290 1511
652 28554 1955 34097 1501
653 28459 1971 35459 1493
654 28470 1903 35824 1484
655 28684 2342 34280 1252
656 28777 1953 34500 1244
657 28541 1989 35480 1447
658 28860 1965 35505 1458
659 29023 1960 32146 1441
660 28411 1920 32101 1415
661 29317 1956 34327 1546
662 31232 1930 34557 1454
663 28729 1966 36264 1268
664 29436 1866 36103 1318
665 30964 1961 34957 1566
666 31620 2061 35218 1555
667 30912 1957 33234 1410
668 31722 1946 33239 1408
669 31786 1993 33919 1588
670 31926 1981 33877 1589
671 29237 2045 36744 1079
672 30900 1933 36230 1081
673 29127 1926 34377 1585
674 31272 1947 34353 1526
675 32382 1963 34289 1423
676 31711 1985 34453 1415
677 31462 2022 34507 1576
678 30704 1978 34760 1557
679 30834 2010 37291 1339
680 30277 1968 37356 1469
681 31556 1992 35898 1540
682 31312 2008 35803 1567
683 31855 4291 35342 1400
684 32456 1961 36065 1404
685 30414 1987 36325 1646
686 30429 1912 36086 1628
687 31753 2017 34437 1267
688 29824 1884 34546 1252
689 30588 1925 36543 1663
690 30630 1899 36407 1639
691 32885 1995 37519 1511
692 30064 1897 38279 1445
693 31977 2001 35548 1686
694 30024 1968 35485 1677
695 30775 2014 36986 1468
696 31345 1990 37213 1460
697 31347 2030 37887 1592
698 33033 1989 37887 1567
699 32350 2023 37079 1605
700 33314 1967 36951 1582
701 32472 1999 35890 1759
702 33446 1942 35920 1710
703 30473 1898 35951 1038
704 32751 1945 35986 1052
705 32857 1927 34889 1570
706 33657 1933 34664 1535
707 32926 1980 35765 1473
708 33609 1934 35626 1439
709 30846 1977 36515 1610
710 33587 1916 36683 1569
711 34362 2001 37845 1388
712 33976 1917 37794 1382
713 33179 2008 36188 1618
714 32262 1971 35853 1602
715 31574 2002 35890 1497
716 34165 1952 35908 1487
717 34313 1949 36687 1630
