Size BST-Insert AVL-Insert BST-Find AVL-Find
433 1932 184 2187 115
434 1940 149 2179 88
435 1926 139 2167 103
436 1942 135 2153 77
437 1940 132 1890 133
438 1996 129 1885 102
439 1931 137 2198 111
440 1942 132 2183 75
441 1956 157 1872 194
442 1967 138 1850 114
443 1971 141 2021 144
444 1965 131 1980 98
445 1974 139 1987 164
446 1960 127 1969 112
447 1959 120 1937 65
448 1970 120 1916 52
449 2170 182 2034 168
450 2015 150 2003 96
451 2009 146 1986 187
452 2019 166 2073 102
453 2039 182 1977 174
454 2024 133 1958 119
455 2030 140 2021 119
456 2024 129 1960 81
457 2027 140 2095 143
458 2053 159 2082 108
459 2058 150 2055 117
460 2037 122 2042 101
461 2047 135 2074 165
462 2041 118 2044 121
463 2060 141 2077 73
464 2077 157 2067 67
465 2078 157 2079 151
466 2098 152 2048 93
467 2055 127 2028 122
468 2056 118 2026 87
469 2076 139 1959 142
470 2098 148 2008 100
471 2118 166 2291 91
472 2112 147 2295 69
473 2115 169 2260 124
474 2120 157 2847 92
475 2101 116 2198 119
476 2102 121 2196 89
477 2117 127 2003 152
478 2340 119 2002 116
479 2084 134 2178 97
480 2102 150 2172 62
481 2111 186 2351 153
482 2124 158 2339 100
483 2128 146 2319 118
484 2121 149 2302 79
485 2121 141 2212 118
486 2130 135 2202 92
487 2129 132 2277 125
488 2156 146 2253 72
489 2160 166 2281 127
490 2163 152 2265 90
491 2261 159 2447 119
492 2175 156 2419 88
493 2176 172 2291 209
494 2177 163 2279 121
495 2166 144 2346 140
496 2174 131 2321 91
497 2194 162 2335 190
498 2205 140 2322 121
499 2208 128 2361 192
500 2216 149 2326 122
501 2213 152 2351 161
502 2218 130 2332 115
503 2232 137 2270 128
504 2239 147 2237 83
505 2247 165 2251 143
506 2261 154 2247 97
507 2239 140 2272 119
508 2257 136 2245 90
509 2205 138 2282 113
510 2224 123 2338 101
511 2242 172 2454 48
512 2230 141 2404 40
513 2384 193 2547 121
514 2300 129 2526 81
515 2237 142 2431 127
516 2264 143 2520 82
517 2272 160 2434 110
518 2363 149 2430 79
519 2282 180 2380 104
520 2272 153 2363 79
521 2272 153 2491 149
522 2278 147 2484 100
523 2295 164 2490 103
524 2380 159 2477 74
525 2289 146 2488 237
526 2304 141 2465 94
527 2314 149 2511 110
528 2312 144 2484 73
529 2325 171 2352 153
530 2347 173 7795 107
531 2361 169 2438 83
532 2340 157 2344 73
533 2355 162 2343 136
534 2367 171 2318 92
535 2445 162 2403 73
536 2365 143 2384 66
537 2344 154 2436 168
538 2362 155 2422 104
539 2352 144 2302 166
540 2393 137 2257 92
541 2371 143 2291 150
542 2385 143 2269 106
543 2390 154 2337 63
544 2408 169 2292 39
545 2410 192 2329 138
546 2394 157 2307 97
547 2408 159 2346 100
548 2397 133 2319 72
549 2433 169 2373 146
550 2442 170 2327 67
551 2433 161 2336 58
552 2479 145 2330 40
553 2450 157 2351 105
554 2441 147 2342 53
555 2527 162 2407 85
556 2445 134 2384 81
557 2463 143 2438 152
558 2463 137 2398 107
559 2477 149 2435 79
560 2458 127 2372 52
561 2464 146 2574 132
562 2451 134 2560 92
563 2471 157 2467 93
564 2467 134 2448 78
565 2475 165 2481 127
566 2478 137 2466 95
567 2475 127 3377 114
568 2495 135 2740 79
569 2496 169 2695 137
570 2492 140 2699 99
