Size BST-Insert AVL-Insert BST-Find AVL-Find
597 2567 149 2895 111
598 2593 140 2867 84
599 2613 163 2463 107
600 2620 165 2472 85
601 2613 179 2663 185
602 2623 178 2656 104
603 2613 173 2676 102
604 2613 172 2665 78
605 2634 168 2781 167
606 2639 177 2759 107
607 2634 159 2663 98
608 2654 164 2643 58
609 2660 195 2679 152
610 2659 173 2658 91
611 2652 159 2695 129
612 2664 147 2642 88
613 2677 166 2610 120
614 2700 160 2590 97
615 2678 136 2686 73
616 2674 130 2662 64
617 2632 174 2693 123
618 2696 141 2685 99
619 2662 150 2714 84
620 2655 149 2867 77
621 2665 156 2923 161
622 2667 133 2865 121
623 2677 153 2620 75
624 2677 163 2625 62
625 2685 172 3070 124
626 2809 156 2797 87
627 2693 152 2980 145
628 2695 137 2971 90
629 2696 151 3105 153
630 2885 139 2966 101
631 2713 133 2972 78
632 2723 142 2962 63
633 2704 142 2697 152
634 2772 147 2682 104
635 2732 153 2838 120
636 2741 142 2834 92
637 2743 150 3024 148
638 2763 152 3008 107
639 2766 156 3029 49
640 2830 130 3004 39
641 2753 185 2997 157
642 2770 154 2985 104
643 2788 176 3017 141
644 2802 172 2999 93
645 2794 182 3011 132
646 2792 160 3023 92
647 2795 153 2866 99
648 2805 148 2965 64
649 2824 182 3050 141
650 2817 141 3035 94
651 2842 162 3024 190
652 2846 172 3004 122
653 2849 183 3056 111
654 2860 187 3050 86
655 2860 181 3030 109
656 3314 176 3016 74
657 2873 177 3092 96
658 2884 185 3086 78
659 2880 164 2962 134
660 2905 162 2803 92
661 2858 140 2967 120
662 2880 142 2961 91
663 2849 145 3171 137
664 2864 147 3156 84
665 2880 175 3085 160
666 2892 170 3076 103
667 2902 144 2921 109
668 2889 153 2915 85
669 2904 157 2941 142
670 2906 169 2952 101
671 2897 144 3162 74
672 2934 165 3225 56
673 2931 194 3090 153
674 2939 165 2973 93
675 2923 146 2999 111
676 2943 170 2971 83
677 3122 183 2982 106
678 2954 150 2968 87
679 2963 164 3300 133
680 2974 172 3263 89
681 2962 169 3152 143
682 2984 173 3151 104
683 3017 152 3065 125
684 2938 136 3062 99
685 2949 149 3190 177
686 2958 147 3174 113
687 2968 162 3092 99
688 2956 127 3032 77
689 2966 150 3228 157
690 2984 136 3198 109
691 3002 158 3297 111
692 2982 134 3263 84
693 2988 135 3128 167
694 3010 162 3101 119
695 3016 182 3272 102
696 3140 177 3234 84
697 3022 187 3322 157
698 3034 164 3302 107
699 3310 164 3293 178
700 3030 149 3268 120
701 3028 140 3178 170
702 3055 141 3365 128
703 3039 127 3165 50
704 3054 139 3133 43
705 3063 180 3335 174
706 3072 164 3074 110
707 3080 162 3201 119
708 3076 157 3222 77
709 3085 177 3203 157
710 3090 165 3184 121
711 3280 161 3405 115
712 3092 153 3357 83
713 3147 171 3207 163
714 3118 166 3190 102
715 3130 181 3225 96
716 3134 168 3192 82
717 3114 154 3269 162
718 3127 140 3245 124
719 3404 141 3218 92
720 3132 156 3203 72
